Id;Nombre;Apellido1;Apellido2;Sexo;Usuario;Contrase�a;Correo;Nacimiento;Edad;Ingresos;Divorcio;NumeroLikesRecibidos;NumeroLikesOtorgados;NumeroMatches;Estado
1;Rafael;De Pedro;Peña;H;depedro9;[je4Wg34BEv7qSh;depedro9@mail.com;3/02/1970;49;292,84;No Aplica;11;9;1;Inactivo
2;Ramón;Dueñas;Cruz;H;rdueñas;"&Y}tuFfU;R4T?fK";rdueñas@correo.es;13/02/1943;76;266,27;No Aplica;19;48;1;Disponible
3;Carlos;Vega;Hernández;H;vega57;MK}4g,kYG@5Dc*d;vega57@email.com;26/05/1947;72;415,86;No Aplica;29;54;2;Inactivo
4;Antonio;Barragán;Zarza;H;antbarragan51;w5{Xaakp[bRF/*[;antbarragan51@correo.es;28/07/1940;79;707,02;No Aplica;23;32;2;Disponible
5;María Josefa;Ramos;Gargallo;M;marramos;2{p[XBkr[WqNZRX;marramos@email.es;12/09/1947;72;;NO;1;11;0;Inactivo
6;Juan José;Estébanez;Caamaño;H;juanjoseestebanez40;rGy.R#+xGj}ecWe;juanjoseestebanez40@email.es;4/08/1943;76;192,7;No Aplica;72;79;7;Inactivo
7;María Teresa;Perea;Pulido;M;mar.perea;#@n3Qb?yGn*S5hi;mar.perea@email.com;12/09/1936;83;;SI;4;50;0;Inactivo
8;David;Manjón;Fernández;H;david.manjon;";xKCf}ZaJB}__N&";david.manjon@mail.net;2/04/1960;59;592,29;No Aplica;85;18;2;Disponible
9;Pedro;Cueva;Gras;H;cueva55;@.ZSa{/[WX?Pzb};cueva55@email.es;28/02/1991;28;372,83;No Aplica;3;84;0;Inactivo
10;Alberto;González;Luna;H;gonzalez93;ZqiXD@Yp?Ay6+P.;gonzalez93@email.es;6/09/1973;46;532,28;No Aplica;62;50;1;Inactivo
11;Laura;Navarro;Valle;M;l.navarro;"9S.k;ePBB?)d8r#";l.navarro@mail.es;16/10/1941;78;;NO;33;18;2;Inactivo
12;Carlos;Del Rio;González;H;carlos.delrio;"xxf7ZKN-Wu;TS$q";carlos.delrio@correo.es;7/04/1981;38;65,89;No Aplica;11;54;0;Disponible
13;Luis;Muñoz;Molina;H;luimuñoz;S_:vAF!H,z.*&MM;luimuñoz@mail.net;1/10/1943;76;748,87;No Aplica;44;7;1;Disponible
14;José Manuel;Jaén;Cascales;H;josjaen;j[nVqVcYYgGE)7X;josjaen@mail.com;1/02/1936;83;271,64;No Aplica;41;42;6;Disponible
15;Carmen;Polo;Herrera;M;carmenpolo;"r{EHH!K;V:V)Kg=";carmenpolo@correo.com;7/03/1942;77;;NO;3;40;0;Disponible
16;Rocío;Dimitrov;García;M;dimitrov97;"Nz7tzqdnGLi#;=(";dimitrov97@mail.com;16/01/1998;21;;SI;87;64;2;Disponible
